id,ptype,v0,v1,v2,v3,v4,v5
18479,p,1,/api/createApi,POST,,,
18480,p,1,/api/deleteApi,POST,,,
18485,p,1,/api/deleteApisByIds,DELETE,,,
18483,p,1,/api/getAllApis,POST,,,
18484,p,1,/api/getApiById,POST,,,
18482,p,1,/api/getApiList,POST,,,
18481,p,1,/api/updateApi,POST,,,
18540,p,1,/authorityBtn/canRemoveAuthorityBtn,POST,,,
18539,p,1,/authorityBtn/getAuthorityBtn,POST,,,
18538,p,1,/authorityBtn/setAuthorityBtn,POST,,,
18494,p,1,/casbin/getPolicyPathByAuthorityId,POST,,,
18493,p,1,/casbin/updateCasbin,POST,,,
18517,p,1,/customer/customer,DELETE,,,
18518,p,1,/customer/customer,GET,,,
18516,p,1,/customer/customer,POST,,,
18515,p,1,/customer/customer,PUT,,,
18519,p,1,/customer/customerList,GET,,,
18509,p,1,/fileUpload/deleteFile,POST,,,
18510,p,1,/fileUpload/editFileName,POST,,,
18511,p,1,/fileUpload/getFileList,POST,,,
18508,p,1,/fileUpload/upload,POST,,,
18505,p,1,/fileUploadAndDownload/breakpointContinue,POST,,,
18506,p,1,/fileUploadAndDownload/breakpointContinueFinish,POST,,,
18504,p,1,/fileUploadAndDownload/findFile,GET,,,
18507,p,1,/fileUploadAndDownload/removeChunk,POST,,,
18468,p,1,/jwt/jsonInBlacklist,POST,,,
18495,p,1,/menu/addBaseMenu,POST,,,
18503,p,1,/menu/addMenuAuthority,POST,,,
18497,p,1,/menu/deleteBaseMenu,POST,,,
18499,p,1,/menu/getBaseMenuById,POST,,,
18501,p,1,/menu/getBaseMenuTree,POST,,,
18496,p,1,/menu/getMenu,POST,,,
18502,p,1,/menu/getMenuAuthority,POST,,,
18500,p,1,/menu/getMenuList,POST,,,
18498,p,1,/menu/updateBaseMenu,POST,,,
18536,p,1,/simpleUploader/checkFileMd5,GET,,,
18537,p,1,/simpleUploader/mergeFileMd5,GET,,,
18535,p,1,/simpleUploader/upload,POST,,,
18525,p,1,/swaDict/createSwaDict,POST,,,
18526,p,1,/swaDict/deleteSwaDict,DELETE,,,
18528,p,1,/swaDict/findSwaDict,GET,,,
18529,p,1,/swaDict/getSwaDictList,GET,,,
18527,p,1,/swaDict/updateSwaDict,PUT,,,
18521,p,1,/swaDictail/createSwaDicttail,POST,,,
18522,p,1,/swaDictail/deleteSwaDicttail,DELETE,,,
18523,p,1,/swaDictail/findSwaDicttail,GET,,,
18524,p,1,/swaDictail/getSwaDicttailList,GET,,,
18520,p,1,/swaDictail/updateSwaDicttail,PUT,,,
18530,p,1,/swaRecord/createSwaRecord,POST,,,
18533,p,1,/swaRecord/deleteSwaRecord,DELETE,,,
18534,p,1,/swaRecord/deleteSwaRecordByIds,DELETE,,,
18531,p,1,/swaRecord/findSwaRecord,GET,,,
18532,p,1,/swaRecord/getSwaRecordList,GET,,,
18486,p,1,/swaRole/copyRole,POST,,,
18487,p,1,/swaRole/createRole,POST,,,
18488,p,1,/swaRole/deleteRole,POST,,,
18490,p,1,/swaRole/getRoleList,POST,,,
18492,p,1,/swaRole/setRoleMenus,POST,,,
18491,p,1,/swaRole/setSubRoles,POST,,,
18489,p,1,/swaRole/updateRole,PUT,,,
18512,p,1,/system/getServerInfo,POST,,,
18513,p,1,/system/getSystemConfig,POST,,,
18514,p,1,/system/setSystemConfig,POST,,,
18470,p,1,/user/admin_register,POST,,,
18476,p,1,/user/changePassword,POST,,,
18469,p,1,/user/deleteUser,DELETE,,,
18474,p,1,/user/getUserInfo,GET,,,
18471,p,1,/user/getUserList,POST,,,
18478,p,1,/user/resetPassword,POST,,,
18473,p,1,/user/setSelfInfo,PUT,,,
18475,p,1,/user/setUserAuthorities,POST,,,
18477,p,1,/user/setUserAuthority,POST,,,
18472,p,1,/user/setUserInfo,PUT,,,
18903,p,100,/api/createApi,POST,,,
18904,p,100,/api/deleteApi,POST,,,
18909,p,100,/api/deleteApisByIds,DELETE,,,
18907,p,100,/api/getAllApis,POST,,,
18908,p,100,/api/getApiById,POST,,,
18906,p,100,/api/getApiList,POST,,,
18905,p,100,/api/updateApi,POST,,,
18964,p,100,/authorityBtn/canRemoveAuthorityBtn,POST,,,
18963,p,100,/authorityBtn/getAuthorityBtn,POST,,,
18962,p,100,/authorityBtn/setAuthorityBtn,POST,,,
18918,p,100,/casbin/getPolicyPathByAuthorityId,POST,,,
18917,p,100,/casbin/updateCasbin,POST,,,
18941,p,100,/customer/customer,DELETE,,,
18942,p,100,/customer/customer,GET,,,
18940,p,100,/customer/customer,POST,,,
18939,p,100,/customer/customer,PUT,,,
18943,p,100,/customer/customerList,GET,,,
18933,p,100,/fileUpload/deleteFile,POST,,,
18934,p,100,/fileUpload/editFileName,POST,,,
18935,p,100,/fileUpload/getFileList,POST,,,
18932,p,100,/fileUpload/upload,POST,,,
18929,p,100,/fileUploadAndDownload/breakpointContinue,POST,,,
18930,p,100,/fileUploadAndDownload/breakpointContinueFinish,POST,,,
18928,p,100,/fileUploadAndDownload/findFile,GET,,,
18931,p,100,/fileUploadAndDownload/removeChunk,POST,,,
18892,p,100,/jwt/jsonInBlacklist,POST,,,
18919,p,100,/menu/addBaseMenu,POST,,,
18927,p,100,/menu/addMenuAuthority,POST,,,
18921,p,100,/menu/deleteBaseMenu,POST,,,
18923,p,100,/menu/getBaseMenuById,POST,,,
18925,p,100,/menu/getBaseMenuTree,POST,,,
18920,p,100,/menu/getMenu,POST,,,
18926,p,100,/menu/getMenuAuthority,POST,,,
18924,p,100,/menu/getMenuList,POST,,,
18922,p,100,/menu/updateBaseMenu,POST,,,
18960,p,100,/simpleUploader/checkFileMd5,GET,,,
18961,p,100,/simpleUploader/mergeFileMd5,GET,,,
18959,p,100,/simpleUploader/upload,POST,,,
18949,p,100,/swaDict/createSwaDict,POST,,,
18950,p,100,/swaDict/deleteSwaDict,DELETE,,,
18952,p,100,/swaDict/findSwaDict,GET,,,
18953,p,100,/swaDict/getSwaDictList,GET,,,
18951,p,100,/swaDict/updateSwaDict,PUT,,,
18945,p,100,/swaDictail/createSwaDicttail,POST,,,
18946,p,100,/swaDictail/deleteSwaDicttail,DELETE,,,
18947,p,100,/swaDictail/findSwaDicttail,GET,,,
18948,p,100,/swaDictail/getSwaDicttailList,GET,,,
18944,p,100,/swaDictail/updateSwaDicttail,PUT,,,
18954,p,100,/swaRecord/createSwaRecord,POST,,,
18957,p,100,/swaRecord/deleteSwaRecord,DELETE,,,
18958,p,100,/swaRecord/deleteSwaRecordByIds,DELETE,,,
18955,p,100,/swaRecord/findSwaRecord,GET,,,
18956,p,100,/swaRecord/getSwaRecordList,GET,,,
18910,p,100,/swaRole/copyRole,POST,,,
18911,p,100,/swaRole/createRole,POST,,,
18912,p,100,/swaRole/deleteRole,POST,,,
18914,p,100,/swaRole/getRoleList,POST,,,
18916,p,100,/swaRole/setRoleMenus,POST,,,
18915,p,100,/swaRole/setSubRoles,POST,,,
18913,p,100,/swaRole/updateRole,PUT,,,
18936,p,100,/system/getServerInfo,POST,,,
18937,p,100,/system/getSystemConfig,POST,,,
18938,p,100,/system/setSystemConfig,POST,,,
18894,p,100,/user/admin_register,POST,,,
18900,p,100,/user/changePassword,POST,,,
18893,p,100,/user/deleteUser,DELETE,,,
18898,p,100,/user/getUserInfo,GET,,,
18895,p,100,/user/getUserList,POST,,,
18902,p,100,/user/resetPassword,POST,,,
18897,p,100,/user/setSelfInfo,PUT,,,
18899,p,100,/user/setUserAuthorities,POST,,,
18901,p,100,/user/setUserAuthority,POST,,,
18896,p,100,/user/setUserInfo,PUT,,,
19115,p,101,/api/createApi,POST,,,
19116,p,101,/api/deleteApi,POST,,,
19121,p,101,/api/deleteApisByIds,DELETE,,,
19119,p,101,/api/getAllApis,POST,,,
19120,p,101,/api/getApiById,POST,,,
19118,p,101,/api/getApiList,POST,,,
19117,p,101,/api/updateApi,POST,,,
19176,p,101,/authorityBtn/canRemoveAuthorityBtn,POST,,,
19175,p,101,/authorityBtn/getAuthorityBtn,POST,,,
19174,p,101,/authorityBtn/setAuthorityBtn,POST,,,
19130,p,101,/casbin/getPolicyPathByAuthorityId,POST,,,
19129,p,101,/casbin/updateCasbin,POST,,,
19153,p,101,/customer/customer,DELETE,,,
19154,p,101,/customer/customer,GET,,,
19152,p,101,/customer/customer,POST,,,
19151,p,101,/customer/customer,PUT,,,
19155,p,101,/customer/customerList,GET,,,
19145,p,101,/fileUpload/deleteFile,POST,,,
19146,p,101,/fileUpload/editFileName,POST,,,
19147,p,101,/fileUpload/getFileList,POST,,,
19144,p,101,/fileUpload/upload,POST,,,
19141,p,101,/fileUploadAndDownload/breakpointContinue,POST,,,
19142,p,101,/fileUploadAndDownload/breakpointContinueFinish,POST,,,
19140,p,101,/fileUploadAndDownload/findFile,GET,,,
19143,p,101,/fileUploadAndDownload/removeChunk,POST,,,
19104,p,101,/jwt/jsonInBlacklist,POST,,,
19131,p,101,/menu/addBaseMenu,POST,,,
19139,p,101,/menu/addMenuAuthority,POST,,,
19133,p,101,/menu/deleteBaseMenu,POST,,,
19135,p,101,/menu/getBaseMenuById,POST,,,
19137,p,101,/menu/getBaseMenuTree,POST,,,
19132,p,101,/menu/getMenu,POST,,,
19138,p,101,/menu/getMenuAuthority,POST,,,
19136,p,101,/menu/getMenuList,POST,,,
19134,p,101,/menu/updateBaseMenu,POST,,,
19172,p,101,/simpleUploader/checkFileMd5,GET,,,
19173,p,101,/simpleUploader/mergeFileMd5,GET,,,
19171,p,101,/simpleUploader/upload,POST,,,
19161,p,101,/swaDict/createSwaDict,POST,,,
19162,p,101,/swaDict/deleteSwaDict,DELETE,,,
19164,p,101,/swaDict/findSwaDict,GET,,,
19165,p,101,/swaDict/getSwaDictList,GET,,,
19163,p,101,/swaDict/updateSwaDict,PUT,,,
