id,created_at,updated_at,deleted_at,createdBy,updatedBy,deletedBy,label,value,status,sort,swaDictID
1,2023-05-24 01:11:41.372,2024-01-08 20:34:09.067,0000-00-00 00:00:00.000,0,0,0,男,1,1,1,1
2,2023-05-24 01:11:41.372,2024-01-08 10:18:53.072,0000-00-00 00:00:00.000,0,0,0,女,2,1,2,1
3,2023-05-24 01:11:41.377,2023-05-24 01:11:41.377,,,,,smallint,1,1,1,2
4,2023-05-24 01:11:41.377,2023-05-24 01:11:41.377,,,,,mediumint,2,1,2,2
5,2023-05-24 01:11:41.377,2023-05-24 01:11:41.377,,,,,int,3,1,3,2
6,2023-05-24 01:11:41.377,2023-05-24 01:11:41.377,,,,,bigint,4,1,4,2
7,2023-05-24 01:11:41.380,2024-01-08 10:06:29.954,0000-00-00 00:00:00.000,0,0,0,date,0,1,0,3
8,2023-05-24 01:11:41.380,2023-05-24 01:11:41.380,,,,,time,1,1,1,3
9,2023-05-24 01:11:41.380,2023-05-24 01:11:41.380,,,,,year,2,1,2,3
10,2023-05-24 01:11:41.380,2023-05-24 01:11:41.380,,,,,datetime,3,1,3,3
11,2023-05-24 01:11:41.380,2023-05-24 01:11:41.380,,,,,timestamp,5,1,5,3
12,2023-05-24 01:11:41.384,2023-05-24 01:11:41.384,,,,,float,0,1,0,4
13,2023-05-24 01:11:41.384,2023-05-24 01:11:41.384,,,,,double,1,1,1,4
14,2023-05-24 01:11:41.384,2023-05-24 01:11:41.384,,,,,decimal,2,1,2,4
15,2023-05-24 01:11:41.388,2023-05-24 01:11:41.388,,,,,char,0,1,0,5
16,2023-05-24 01:11:41.388,2023-05-24 01:11:41.388,,,,,varchar,1,1,1,5
17,2023-05-24 01:11:41.388,2023-05-24 01:11:41.388,,,,,tinyblob,2,1,2,5
18,2023-05-24 01:11:41.388,2023-05-24 01:11:41.388,,,,,tinytext,3,1,3,5
19,2023-05-24 01:11:41.388,2023-05-24 01:11:41.388,,,,,text,4,1,4,5
20,2023-05-24 01:11:41.388,2023-05-24 01:11:41.388,,,,,blob,5,1,5,5
21,2023-05-24 01:11:41.388,2023-05-24 01:11:41.388,,,,,mediumblob,6,1,6,5
22,2023-05-24 01:11:41.388,2023-05-24 01:11:41.388,,,,,mediumtext,7,1,7,5
23,2023-05-24 01:11:41.388,2023-05-24 01:11:41.388,,,,,longblob,8,1,8,5
24,2023-05-24 01:11:41.388,2023-05-24 01:11:41.388,,,,,longtext,9,1,9,5
25,2023-05-24 01:11:41.391,2023-05-24 01:11:41.391,,,,,tinyint,0,1,0,6
26,2023-05-27 11:30:18.094,2023-05-27 11:30:18.094,,,,,mysql,1,1,1,7
27,2023-05-27 11:30:29.006,2023-05-27 11:30:29.006,,,,,oracle,2,1,2,7
28,2023-05-27 11:30:42.166,2023-12-28 21:31:26.387,,0,0,0,postgres,3,1,3,7
29,2023-07-03 11:07:05.427,2023-07-03 11:07:05.427,,,,,left join,1,1,1,8
30,2023-07-03 11:07:31.706,2023-07-03 11:07:31.706,,,,,right join,2,1,2,8
31,2023-07-03 11:09:27.990,2023-07-03 11:09:38.491,,,,,inner join,4,1,4,8
32,2023-07-03 11:09:49.804,2023-07-03 11:09:49.804,,,,,full join,3,1,3,8
33,2023-07-03 11:10:28.363,2023-07-03 11:10:28.363,,,,,post,1,1,1,9
34,2023-07-03 11:10:55.177,2023-07-03 11:10:55.177,,,,,get,2,1,2,9
35,2023-07-03 11:11:07.950,2023-07-03 11:11:07.950,,,,,put,3,1,3,9
36,2023-07-03 11:11:46.464,2023-07-03 11:11:46.464,,,,,http,1,1,1,10
37,2023-07-03 11:11:55.331,2023-07-03 11:11:55.331,,,,,grpc,2,1,2,10
38,2023-07-03 11:12:14.499,2023-07-03 11:12:14.499,,,,,socket,3,1,3,10
39,2023-07-08 19:38:40.069,2023-07-08 19:38:40.069,,,,,同步一次,1,1,1,11
40,2023-07-08 19:38:56.377,2023-07-08 19:38:56.377,,,,,定时同步,2,1,2,11
42,2023-07-10 10:08:16.082,2023-10-21 11:05:02.185,,,,,xidw-ods,1,1,1,12
43,2023-07-19 21:14:03.257,2023-07-19 21:14:03.257,,,,,全量同步,1,1,1,13
44,2023-07-19 21:14:19.063,2023-07-19 21:14:19.063,,,,,增量同步,2,1,2,13
46,2023-07-28 16:03:38.423,2023-07-28 16:03:38.423,,,,,mysql,1,1,1,14
47,2023-07-28 16:03:54.276,2023-07-28 16:03:54.276,,,,,tiDB,2,1,2,14
48,2023-09-07 15:10:54.885,2023-09-07 15:10:54.885,,,,,本地服务器,1,1,1,15
49,2023-09-07 15:11:11.230,2023-09-07 15:11:11.230,,,,,ftp服务器,2,1,2,15
50,2023-09-08 17:54:09.696,2023-09-08 17:54:09.696,,,,,不解析,1,1,1,16
51,2023-09-08 17:54:35.552,2023-09-08 19:40:28.121,,,,,json格式,2,1,2,16
52,2023-09-08 17:54:49.369,2023-09-08 19:40:33.841,,,,,xml格式,2,1,2,16
53,2023-09-08 19:39:29.405,2023-09-08 19:39:29.405,,,,,csv格式,3,1,3,16
54,2023-09-08 19:39:53.273,2023-09-08 19:39:53.273,,,,,xlsx格式,4,1,4,16
55,2023-09-21 11:03:03.907,2023-09-21 11:03:10.815,,,,,实时同步,4,1,4,11
56,2023-10-21 11:05:20.344,2023-10-21 11:05:20.344,,,,,xidw-uds,2,1,2,12
