id,created_at,updated_at,deleted_at,createdBy,updatedBy,deletedBy,name,type,status,detail
1,2023-05-24 01:11:41.368,2024-01-08 15:33:31.316,,,,,性别,gender,1,性别字典
2,2023-05-24 01:11:41.368,2023-05-24 01:11:41.376,,,,,数据库int类型,int,1,int类型对应的数据库类型
3,2023-05-24 01:11:41.368,2024-01-08 20:34:19.791,,,,,数据库时间日期类型,time.Time,1,数据库时间日期类型
4,2023-05-24 01:11:41.368,2023-05-24 01:11:41.383,,,,,数据库浮点型,float64,1,数据库浮点型
5,2023-05-24 01:11:41.368,2023-05-24 01:11:41.387,,,,,数据库字符串,string,1,数据库字符串
6,2023-05-24 01:11:41.368,2023-05-24 01:11:41.391,,,,,数据库bool类型,bool,1,数据库bool类型
7,2023-05-27 11:30:00.409,2023-05-27 11:35:19.048,,,,,源数据库类型,odsDbType,1,源数据库类型
8,2023-07-03 11:03:47.909,2023-07-03 11:03:47.909,,,,,表联接方式,joinType,1,数据库表之前联接方式
9,2023-07-03 11:05:20.302,2023-07-03 11:05:20.302,,,,,数据接口请求方式,requestType,1,数据服务接口请求方式
10,2023-07-03 11:06:04.812,2023-07-03 11:06:04.812,,,,,数据接口类型,apiType,1,数据服务接口类型
11,2023-07-08 19:38:07.930,2023-09-21 18:28:41.492,,,,,同步任务类型,jobType,1,同步任务类型
12,2023-07-10 10:07:32.451,2023-07-16 10:05:15.471,,,,,ods库名列表,odsSchemaList,1,ods库名列表
13,2023-07-19 21:13:17.631,2023-07-19 21:13:17.631,,,,,数据同步方式,syncType,1,数据同步方式
14,2023-07-28 16:02:56.560,2023-07-28 16:02:56.560,,,,,目标数据库类型,tgtDbType,1,目标数据库类型
15,2023-09-07 15:10:32.344,2023-09-07 15:10:32.344,,,,,ftp存储服务器,ftpStoreServer,1,ftp存储服务器类型
16,2023-09-08 17:53:52.189,2023-09-08 17:53:52.189,,,,,ftp文件解析方式,ftpParseType,1,ftp文件解析入库
